L. Kou and D. Labrie and P. Chylek, "Refractive indices of water and ice
in the 0.65�2.5�m spectral range," Appl. Opt., 32, 3531--3540, (1993).

lambda	 absorption
 (nm) 	   (1/cm)  
   2.5000000e+03   1.0053096e+02
   2.4750000e+03   8.6822193e+01
   2.4510000e+03   7.1778531e+01
   2.4270000e+03   6.0579534e+01
   2.4030000e+03   5.1457795e+01
   2.3810000e+03   4.4069378e+01
   2.3580000e+03   3.7890963e+01
   2.3360000e+03   3.2653196e+01
   2.3140000e+03   2.8456257e+01
   2.2930000e+03   2.5209464e+01
   2.2720000e+03   2.2787608e+01
   2.2520000e+03   2.1204354e+01
   2.2320000e+03   2.0380941e+01
   2.2120000e+03   2.0053927e+01
   2.1930000e+03   2.0284975e+01
   2.1730000e+03   2.1049971e+01
   2.1550000e+03   2.2333734e+01
   2.1360000e+03   2.4297335e+01
   2.1180000e+03   2.6936412e+01
   2.1000000e+03   3.0458487e+01
   2.0830000e+03   3.4990373e+01
   2.0660000e+03   4.0448384e+01
   2.0500000e+03   4.7652853e+01
   2.0320000e+03   5.5410765e+01
   2.0160000e+03   6.5449844e+01
   2.0000000e+03   7.7283175e+01
   1.9840000e+03   9.1207524e+01
   1.9680000e+03   1.0727389e+02
   1.9530000e+03   1.2354035e+02
   1.9400000e+03   1.3501059e+02
   1.9230000e+03   1.3461634e+02
   1.9080000e+03   1.1723343e+02
   1.8940000e+03   7.2983142e+01
   1.8790000e+03   3.1767034e+01
   1.8650000e+03   1.5766920e+01
   1.8510000e+03   1.1133899e+01
   1.8380000e+03   9.7085120e+00
   1.8240000e+03   9.2318730e+00
   1.8100000e+03   9.1593640e+00
   1.7980000e+03   9.1556980e+00
   1.7850000e+03   9.1519780e+00
   1.7730000e+03   8.7177860e+00
   1.7600000e+03   7.9253810e+00
   1.7480000e+03   7.2608890e+00
   1.7400000e+03   6.6523580e+00
   1.7240000e+03   6.2758960e+00
   1.7100000e+03   6.0115990e+00
   1.7000000e+03   5.8914100e+00
   1.6890000e+03   5.8330570e+00
   1.6770000e+03   5.8373300e+00
   1.6660000e+03   5.9211290e+00
   1.6550000e+03   6.0515990e+00
   1.6440000e+03   6.2678970e+00
   1.6340000e+03   6.4908300e+00
   1.6230000e+03   6.8058160e+00
   1.6120000e+03   7.1952600e+00
   1.6020000e+03   7.6088510e+00
   1.5920000e+03   8.1302520e+00
   1.5820000e+03   8.8171120e+00
   1.5720000e+03   9.5127100e+00
   1.5620000e+03   1.0458567e+01
   1.5520000e+03   1.1659519e+01
   1.5430000e+03   1.2786261e+01
   1.5330000e+03   1.4591088e+01
   1.5240000e+03   1.6079017e+01
   1.5150000e+03   1.8082301e+01
   1.5060000e+03   2.0443298e+01
   1.4970000e+03   2.2916627e+01
   1.4880000e+03   2.5757680e+01
   1.4790000e+03   2.8208484e+01
   1.4700000e+03   3.0603813e+01
   1.4620000e+03   3.2404388e+01
   1.4530000e+03   3.2778075e+01
   1.4450000e+03   3.2524722e+01
   1.4370000e+03   3.2006203e+01
   1.4280000e+03   3.0271928e+01
   1.4200000e+03   2.7699111e+01
   1.4120000e+03   2.4652156e+01
   1.4040000e+03   1.9690893e+01
   1.3960000e+03   1.3952631e+01
   1.3880000e+03   8.7819730e+00
   1.3810000e+03   5.9874520e+00
   1.3730000e+03   4.6403130e+00
   1.3660000e+03   3.9557390e+00
   1.3580000e+03   3.5533770e+00
   1.3510000e+03   3.2369330e+00
   1.3440000e+03   2.8891430e+00
   1.3360000e+03   2.5396110e+00
   1.3290000e+03   2.2031330e+00
   1.3220000e+03   1.9106210e+00
   1.3150000e+03   1.6723310e+00
   1.3080000e+03   1.4891340e+00
   1.3020000e+03   1.3512230e+00
   1.2950000e+03   1.2517850e+00
   1.2880000e+03   1.1805360e+00
   1.2820000e+03   1.1370510e+00
   1.2750000e+03   1.1038690e+00
   1.2690000e+03   1.0793810e+00
   1.2620000e+03   1.0853680e+00
   1.2560000e+03   1.1005580e+00
   1.2500000e+03   1.1158940e+00
   1.2430000e+03   1.1423970e+00
   1.2370000e+03   1.1580970e+00
   1.2310000e+03   1.1841580e+00
   1.2250000e+03   1.2002170e+00
   1.2190000e+03   1.2164330e+00
   1.2130000e+03   1.2431690e+00
   1.2070000e+03   1.2597600e+00
   1.2010000e+03   1.2660540e+00
   1.1960000e+03   1.2818540e+00
   1.1900000e+03   1.2671970e+00
   1.1840000e+03   1.2523920e+00
   1.1790000e+03   1.2363860e+00
   1.1730000e+03   1.2319970e+00
   1.1680000e+03   1.2049940e+00
   1.1620000e+03   1.1895880e+00
   1.1570000e+03   1.1404230e+00
   1.1520000e+03   1.0406530e+00
   1.1460000e+03   8.5968900e-01
   1.1410000e+03   6.5199700e-01
   1.1360000e+03   4.7123900e-01
   1.1310000e+03   3.5332500e-01
   1.1260000e+03   2.8904900e-01
   1.1210000e+03   2.5782900e-01
   1.1160000e+03   2.3533800e-01
   1.1110000e+03   2.2508600e-01
   1.1060000e+03   2.0792500e-01
   1.1010000e+03   1.9289000e-01
   1.0960000e+03   1.7771800e-01
   1.0910000e+03   1.6586200e-01
   1.0870000e+03   1.5606800e-01
   1.0820000e+03   1.4749800e-01
   1.0770000e+03   1.4351600e-01
   1.0730000e+03   1.4053700e-01
   1.0680000e+03   1.4119500e-01
   1.0630000e+03   1.4422400e-01
   1.0590000e+03   1.4951500e-01
   1.0540000e+03   1.5618500e-01
   1.0500000e+03   1.6635500e-01
   1.0460000e+03   1.7900500e-01
   1.0410000e+03   1.9435000e-01
   1.0370000e+03   2.1085300e-01
   1.0330000e+03   2.2991700e-01
   1.0280000e+03   2.5059400e-01
   1.0240000e+03   2.7243500e-01
   1.0200000e+03   2.9567900e-01
   1.0160000e+03   3.1910700e-01
   1.0120000e+03   3.4023600e-01
   1.0080000e+03   3.6402600e-01
   1.0040000e+03   3.8675400e-01
   1.0000000e+03   4.0715000e-01
   9.9600000e+02   4.2644900e-01
   9.9200000e+02   4.4337000e-01
   9.8800000e+02   4.6042800e-01
   9.8400000e+02   4.7379300e-01
   9.8000000e+02   4.8213800e-01
   9.7600000e+02   4.8668900e-01
   9.7300000e+02   4.8431500e-01
   9.6900000e+02   4.7853400e-01
   9.6500000e+02   4.7009900e-01
   9.6100000e+02   4.5374900e-01
   9.5800000e+02   4.1844200e-01
   9.5400000e+02   3.6223800e-01
   9.5000000e+02   2.9762500e-01
   9.4700000e+02   2.4681600e-01
   9.4300000e+02   2.1055000e-01
   9.4000000e+02   1.8181100e-01
   9.3600000e+02   1.5573700e-01
   9.3300000e+02   1.3738200e-01
   9.2900000e+02   1.1944100e-01
   9.2600000e+02   1.0422200e-01
   9.2200000e+02   9.2680000e-02
   9.1900000e+02   8.4095000e-02
   9.1600000e+02   7.7922000e-02
   9.1200000e+02   7.3579000e-02
   9.0900000e+02   7.0366000e-02
   9.0600000e+02   6.7686000e-02
   9.0200000e+02   6.5618000e-02
   8.9900000e+02   6.3601000e-02
